label,comment_processed
4,第一天 购买 第二天 送到 速度 非常 快 超市 差不多 颜色 华彩 比较 漂亮 支持 移动 联通 电信 网络 刚买 完 朋友 看到 立刻 下单 第二台 
4,外形 外观 十分 炫酷 喜欢 屏幕 音效 屏幕 够 音效 符合 描述 拍照 效果 像素 高 个人 不在意 运行 速度 完美 待机时间 暂时 知道 特色 指纹识别 地方 锁 屏键 舒服 
0,买 不到 一个月 降价 
4,外形 外观 居中 挖 孔屏 镜头 模组 形状 位置 边框 协调 整块 黑色 淡化 摄 密集 恐惧 不适感 称得上 优秀 整体 设计 用料 重量 恰到好处 视觉 触觉 质感 很棒 更 重要 难得 轻薄 拍照 效果 单反 用户 蔡司 蓝标 只算 噱头 手机 产品 观感 完全 称得上 优秀 水平 焦段 镜头 好评 中长 焦才 容易 出好片 运行 速度 生活 办公 党 手机 完全 时刻 丝 滑 
0,耳机 送 买 没有 耳机 
2,一个月 发现 手机 触屏 效果 不太好 反应 迟钝 
4,外形 外观 不错 屏幕 音效 不错 拍照 效果 行 运行 速度 刚刚 
0,买 现在 变向 降价 不能 申请 价格 保护 
4,手机 发货 速度 很快 隔天 收到 手机 性能 不错 不愧 游戏 系列 手机 性能 很强 打游戏 流畅 没有 卡顿 现象 拍照 清晰 充电 很快 
0,买 三天 降价 给力 
0,这台 手机 非常 差 打个 游戏 卡 不得了 
2,外形 外观 镜头 太 凸起 屏幕 音效 一般般 拍照 效果 拍照 清晰 
4,外形 外观 手机 做 轻薄 惊喜 屏幕 音效 高 刷屏 显示 效果 清晰 拍照 效果 拍照 很强 华为 运行 速度 非常 快 不卡顿 待机时间 待机时间 长期 使用 评价 
0,刚 收到 货 降价 说好 保价 退 京东 变 
4,颜值 高手 感好 起来 流畅 最好 配 保护套 亮色 机身 容易 留 指纹 
0,为啥 打游戏 信号 会断 信号 不好 市区 可能 信号 不好 
0,一点 信用 没有 答应 送 东西 迟迟 不送 
4,老年人 还行 
4,手机 不错 颜值 高 看起来 很大 起来 轻巧 刚 收到 盒子 特重 重量 全在 充电器 使用 一段时间 没 发现 问题 送 耳机 直播间 送 好看 背包 
4,很多年 牌子 一直 喜欢 款 机型 方面 更好 喜欢 外形 漂亮 内存 够 音效 拍照 更 不用说 网速 快 很多 
1,待机时间 感觉 耗电 快 之前 手机 耗电 快 问 客服 说 正常 特色 半个 小时 直播 手机 会发 烫 深深 怀疑 液冷 散热 闹着玩 
2,容易 发烫 夏天 这种 天气 室内 一开 视频 打游戏 分钟 烫 不行 一发 烫 影响 网速 电池 使用 时 长 
2,东西 收到 一周 评论 还好 手机 拍照 技术 不错 特别 夜景 有时候 有点 卡 
4,京东 买 东西 放心 送货 快 
4,觉得 不错 商品质量 发货 挺快 很赞 
4,外形 外观 薄 手感 屏幕 音效 屏幕 顺滑 拍照 效果 拍照 神器 运行 速度 很快 
0,垃圾 手机 玩个 游戏卡 要死 新手机 真 打个 游戏 差点 没 砸烂 问 客服 告诉 恢复 出厂 设置 垃圾 手机 
4,外形 外观 款 太空 蓝 真的 很漂亮 屏幕 音效 混音 效果 不错 好听 拍照 效果 万 像素 可不是 白给 太 清晰 运行 速度 一个 字快 待机时间 视 情况 而定 情况 下用 一天 没 问题 特色 使用 功能 很多 以前 手机 方便 
0,耳机 赠送 太 抠门 建议 亲们 少来 光顾 
4,收到 一顿 猛虎 操作 试了试 只不过 分辨率 是不是 低点 
4,款 千元 机 性价比 不错 芯片 联发科 芯片 手机 颜值 在线 颜色 好看 手感 挺 支持 信号 双卡 双待 电池容量 前置 摄像头 万 像素 一直 信赖 京东 自营 东西 保障 快递 送货 速度 很快 会 继续 支持 
0,垃圾 手机 屏幕 根本 坏 
4,外形 外观 好看 颜值 高 清新 屏幕 音效 清晰度 音效 拍照 效果 广角 大照 相片 全面 运行 速度 快 待机时间 长 特色 充电 快 
4,非常 好用 一款 手机 运行 速度 快 内存 玩游戏 没 说 尤其 屏幕 没 说 舒服 
1,手机 拿到 手 有点 失望 第一点 下单 前问 客服 说 送 碎 屏险 下单 客服 说 送 说 机器人 回复 有点 语 第二点 收货 发现 支持 视频 铃声 客服 说 需要 单独 找 运营商 开通 这项 业务 一个 手机 荣耀 设置 视频 铃声 差距 有点 只能 说 太 相信 广告 草率 
4,卖家 发货 速度 很快 第二天 手机 性能 拍照 清晰 使用 方便 一段时间 以后 追加 评价 手机 质量 
0,卡槽 使用 痕迹 客服 服务态度 太差 
4,手机 家里人 这款 手机 手机 价格便宜 功能 很多 操作 方面 不卡 老人 容易 手 京东 快递 快 服务 售后 十分 满意 
4,包装盒 档次 手机 背面 工艺 还会 变色 最后 屏 占 挺 高 前置 摄像头 尺寸 很小 颜值 在线 
2,还好 散热 不太好 刚 装 软件 目前 反应 比较 快 比较 灵活 京东 自营 送货 快 隔天 退货 时间 
4,刚用 不错 内存 够用 
0,电池 耐用 充电器 充电 会 发热 感觉 没什么 升级 
4,拍照 前置 后置 摄像头 广角 双摄 极速 对焦 这款 手机 亮点 外观 漂亮 机身 轻巧 内存 电池 续航 超强 手机 超值 
4,活动 买 线下 门店 完 久 活动 降价 终于 得手 颜值 超高 颜色 三个 好看 网速 很快 摄像 清晰 
1,两天 感受 有点 卡电 消耗 很快 充满 电跟用 两年 手机 一点 耐用 
2,第一次 牌子 抢 天华 屏 抢 不到 听说 做工 不错 马上 下单 手 体验 几天 第一 感觉 屏幕 比较 修长 屏幕显示 效果 不错 舒服 刺眼 开锁 速度 秒 开 外观 比较 素雅 清新 美观 适合 女士 想不到 塑料 做 出神入化 信号 充电 很快 大概 分钟 左右 充满 电量 方面 关开省 电 模式 不错 不关 太 理想 系统 做 人性化 方便 前置 摄像头 位置 够 没 指示灯 不能 隐藏 导航键 不能 隐藏 屏页 不能 循环 转 自带 手电筒 不能 放 桌面 划动 自带 日历 处 不能 转屏 系统 流畅 度 时常 会 轻微 卡 顿感 显示 视觉 细节 不太 友好 顶部 壮态 视觉 焦距 好乱 屏幕 上部 下部 浪费 好多 空间 想 多排 难 可能 优化 问题 方面 没 华为 荣耀 几年 玩游戏 女士 不错 拍照 功能 基本 满足 日常 感谢 商家 送 好多 东西 很少 用得上 感觉 不错 
4,宝贝 收到 太 惊喜 质量 非常 性价比 高 真是 出乎 意料 东西 质量 非常 卖家 描述 完全一致 非常 满意 特别 特别 特别 没有 破损 地方 外观 好看 好评 
1,机身 太重 系统 操作 人性化 单手操作 非常 累 
0,手机 冲电 发热 严重 不到 分钟 更热 没法 使用 
4,发货 很快 包装 严谨 顺风 快速 预约 送到 开箱 查看 名附 其实 外观 精美 手感 舒适 重量 适中 开机 迅速 系统 设置 没有 广告 适合 大众 拍照 影相 赛过 苹果 超越 同价 可谓 榜首 充电 极快 四十分钟 即可 充满 散热 电量 耐用 足用 兩天 视频 播放 图象 真实 音质 好观 听 难离 不到 两仟 价格便宜 值得 拥有 
0,送 送 实用 点 送 电话卡 实用 赠品 差 
4,媳妇 买 手机 媳妇 喜欢 拍照 亮 适合 孩子 拍照 拍 出 照片 好看 
4,外观 时尚 手里 轻快 充 方便 送 充电 线 玩游戏 视频 方便 做 活动 价格 实惠 送 耳机 游戏 专用线 十分 满意 下次 再换 手机 还会 支持 
4,屏幕 音效 这块 英寸 屏 支持 广色域 能够 呈现出 细腻 画质 效果 支持 目前 旗舰 机型 具备 刷新率 触控 采样率 屏幕 触控 流畅 丝滑 视觉效果 更 手 灵敏 表现 类 手游 中 能够 带来 更快 触控 表现 吃 鸡 时 快 一步 值得一提的是 进一步 增加 玩家 高帧 率 游戏 感知 特别 推出 高 帧 率 专区 能够 适配 目前 主流 款 游戏 拍照 效果 拍照 满足 日常 需求 千元 机 自行车 外形 外观 外形 大气 美观 手感 舒适 适合 长辈 使用 屏幕 够 选 大字体 特色 充电 速度 贼 快快 充 感觉 
1,说好 曲屏 
4,刚刚 中秋 前到 家里 老人 换 手机 吃饭 分给 老妈 吐槽 同款 颜色 说 今年 家 特色 以后 找 手机 手机 壳 不错 喜欢 完美 
0,质量 问题 联系 客服 处理 
1,说好 备注 客服 送 充电 宝 没有 第一次 自营 店 买 五天 到货 
2,运行 速度 总体 接受 掉电 快 
0,破 手机 垃圾 一点 存电 
4,手机 到手 突然 整个 心情 棒棒 说实话 第一次 品牌 手感 反映 不错 毕竟 买 顶配 后续 使用 良好 会 追评 前天 晚上 下单 今天 在手 发货 速度 杠杠 滴 
2,真的 太 垃圾 想 恶意 差评 真的 太 垃圾 使用 体验 差 不行 
0,送 耳机 根本 没有 不送 不要 写 
2,月 号 收到 新机 里面 月 文件 
0,垃圾 货用 几个 月 自动 从起 几次 心寒 
4,外形 外观 然 机身 材质 复合 板材 非 玻璃 质感 很棒 颜色 好看 大气 告诉 塑料 一定 认为 玻璃 屏幕 音效 赫兹 屏幕 看着 挺 顺眼 屏幕 亮度 适合 刺眼 得益于 高 刷新率 流畅 刷新率 可调 我选 省 电 流畅 兼顾 拍照 效果 拍照 够用 万主 摄像 这种 注重 性能 游戏 玩家 足够 运行 速度 版本 切换 快捷 不杀 后台 系统 流畅 待机时间 电池 加上 省电 玩 小时 游戏 掉电 很少 表现 突出 优秀 特色 天玑 纳米 制程 工艺 跑 分 两千 出头 价格 双卡 双待 支持 秒杀 一众 中 端机 一线 旗舰机 中 端机 价格 性价比 超高 自行车 
1,买 两部 黑色 部 打开 应用 下载 东西 很快 天鹅湖 这部 超级 慢 真不知道 评价 快 吐血 
4,京东 快递 速度 很快 快递 小哥 服务 京东 买 几回 手机 款 华彩 外观 好看 手感 运行 速度 流畅 拍照 功能强大 电池 使用 长短 现在 知道 以后 评论 希望 这是 一次 满意 购物 好用 准备 入手 一个 
0,极差 超级 差 手机卡 顿 卡滑 屏幕 卡 后来 售后 维修 半个 月 摄像头 模糊 糊 一层 保鲜膜 真心 不要 买 售后 超级 极差 商品 问题 建议 不要 买特特 特差 
1,质量 太 失望 三个 月 开 关键 无故 失灵 恼火 找 线下 维修服务 点远 设置 指纹 开锁 知道 开熄屏 
1,蔡 徐坤 外表 灾难 
0,手机 配置 很高 微信 视频 发热 主要 坑 预售 用户 操作 真 看不懂 期待 变成 
0,客服 回答 问题 差差 
2,机身 偏厚 充电器 自带 充电器 能充 不行 知道 是不是 这台 情况 电池 续航 整体 价格 产品 有点 失望 
2,手机 破损 
4,外观 非常 好看 包装 高大 手机 里面 原子 音乐 音质 外形 外观 漂亮 拍照 效果 挺 运行 速度 很快 
4,外形 外观 好看 起来 手感 舒服 屏幕 音效 好听 音质 效果 拍照 效果 清晰 万 像素 拍 真实 运行 速度 好快 王者 吃 鸡 没 问题 一点 不卡 待机时间 很长 连续 视频 六个 小时 特色 特色 性价比 非常 高 
2,手机 电池 耐用 
0,打游戏 发热 严重 电池 耐用 
4,外形 外观 外形 精致 黑色 很酷 灯光 炫 屏幕 音效 屏幕 显示 细腻 声音洪亮 拍照 效果 像素 高 非常 清晰 运行 速度 素质 真快 满意 待机时间 时间 长 充电 快 特色 快递 一如既往 没 说 快速 质量 
2,电池 有点 快 充电 很快 
4,买 老妈 本来 想 考虑 某华 后面 快充 基本 三千 后面 发现 这块 款 真的 非常 棒 充电 分满 生活 够用 多余 系统 最新 值得 推荐 
4,手机 不错 性价比 高 物流 隔天 赞 一个 送 耳机 嘻嘻 
4,使用 几天 评价 手机 整体 外形 美观 屏幕 清晰 运行 速度 非常 快 拍照 清晰 亮丽 可玩性 强 联接 网络 稳定 追剧 时 音效 非常 玩游戏 续航 时间 一天 妥妥 屏 忠粉 这款 手机 完全 满足 需求 送得 耳机 音效 不错 京东 购物 方便 头 天下 单 隔天 爆赞 
4,不错 正在 试用 
1,手机 不错 手机 膜 刮痕 客服 建议 修 
4,赞赞赞 不错 拿到 手感 内存 很大 适合 
4,已经 收到 货 几天 很快 运行 内存 大好 值得 拥有 
4,老公 买 觉得 不错 玩游戏 不卡 
2,外形 外观 外观 看上去 很漂亮 前置 摄像头 挖 孔 屏幕 音效 屏幕 风格 有点 偏暗 拍照 效果 不错 追求 拍照 考虑 运行 速度 感觉 待机时间 续航 能力 真的 差 
4,手机 收到 朋友 买 手机 质感 运行 很快 网速 快 朋友 喜欢 手机 一直 京东 自营 店买 东西 一直 信赖 京东 下次 需要 还会 
1,内存 运行 反应速度 车 互联 链接 不上 这款 现在 支持 开车 导航 建议 买个 支架 方便 
2,手机 不怎么 存电 感觉 
4,孩子 买 运行 速度 很快 界面 美观 起来 方便 快捷键 比较 人性化 分辨率 高清晰 充电 速度 很快 充电器 速度 飞快 赞 
2,运行 速度慢 手机 建议 买 
1,待机时间 充电 没 块 手机 
4,收到 宝贝 真心 不错 性价比 高 经济 实惠 快递 速度 力 收到 之后 打开 东西 放 非常 文全 包装 完整 数量 分类 搭配 现在 东西 眼花缭乱 你家 货 我会 一直 买 下去 五星 好评 包装 不错 特别 外观 觉得 挺 好看 挺 个性 质量 真心 不错 价格 真心 实惠 五星 好评 无限 回购 没 毛病 
2,第一次 买 手机 昨天 刚 拿到 手 没 玩 手机 感觉 电 耐用 运行 速度 有点 慢 
2,帮别人 买 希望 看着 网红 评价 不错 实际 没用过 
4,款 手机 性价比 高 外观 漂亮 屏幕 清晰 拍照 效果 满足 日常 需求 运行 速度 快 京东 自营 商品质量 不错 物美价廉 物超所值 方便快捷 省时省力 棒棒 哒 
4,一直 手机 品牌 保障 款 手机 性价比 非常 高 运行 内存 打开 多个 软件 不卡 内存 保存 超多 照片 视频 非常 推荐 
4,手机 收到 非常 不错 外观 很帅 性能 性价比 非常 高买 好几 台 家人 一起 价格 优惠 非常 非常 棒 
4,丈母娘 换 手机 配置 高 屏幕 系统 流畅 价格 配置 无敌 老人家 配置 随便 搞 不会 担心 卡 天黑 家里 拍 几张 照片 效果 杠杠 客服 小妹 棒棒 送 耳机 背包 趁现在 活动 喜欢 赶紧 下手 绝对 物超所值 
4,手机 性价比 高 运行 快颜值 高 京东 值得 信赖 
2,外形 外观 外观 有点 不同 补充 
4,骁龙 处理器 安兔 兔 跑 分 接近 万 拍照 万 夜景 模式 力 电池 毫安 还行 运行 速度 内存 性价比 高 父母 推荐 后续 一段时间 评价 
1,像素 太差 颗粒感 不值 
2,性能 摄像头 同价位 差 
4,使用 几天 没 问题 系统 流畅 内存 够 价位 值得 入手 
4,买 手机 其实 冲着 系统 起来 新颖 用烦 苹果 安卓 系统 功能强大 反应速度快 手机 整体 很棒 外观 很漂亮 颜色 好看 充电 速度 真的 力 开心 一次 网购 店家 送 一幅 耳机 
0,买 不到 一个月 降价 多块 太坑 
0,不怎么样 产品 介绍 玩游戏 挺卡 朋友 一起 打游戏 同样 无线网 已经 没有 进去 主要 手机 用过 一年 同样 两千多块 钱 
0,掉电 厉害 不能 保价 找 不到 客服 
0,手机 很卡 第一次 买 卡 手机 
2,款 手机 不好 知道 不能 退 经常 打电话 会 没有 声音 
4,物流 很快 原力色 好看 拍照 不错 听 音乐 音效 前 一个 手机 好几年 
0,评价 完才 明白 当时 券 退 抱歉 联系 客服 改不了 评论 只能 追评 抱歉 
4,现在 京东 买手机 质量 差 买来 不到 十天 屏 碎 送 快递 京东 觉得 奇怪 买 新品 手机 快递 送上门 贵重 手机 快递 不好 印象 接下来 使用 感 非常 差卡 信号 网 不好 原来 旧 手机 后面 手机 屏 摔 购买 手机 唯一 一次 体验 感 非常 差 花 钱 真是 非常 满意 不好 问题 出现 醉 
4,觉得 老弟 吐槽 丑 好看 买 不错 还给 老娘 挑三拣四 确实 有点 丑 必须 承认 觉得 挺好用 流畅 
4,帮 战友 买 说 这款 手机 颜色 真的 很漂亮 轻薄 颜值 超高 手感 不错 拍照 效果 真的 强大 拍 效果 自然 屏幕显示 效果 清晰 音质 不错 充电 很快 电容量 很大 体验 感 非常 不错 总体 来看 性 比价 高 值得 购买 
0,一天 电池 王者 手机 占时 热 不卡顿 没有 说 耳机 背包 没 手机 暂时 一天 
4,试用 一下 效果 不错 上款 手机 换成 感觉 很棒 配置 高 偶尔 玩玩 游戏 压力 颜值 没得说 感觉 稍微 有点 重快 充 棒棒 哒 店家 客服 态度 好会 推荐 朋友 下次 换 继续 考虑 
0,一般般 
4,考虑 久 京 东线 商城 买 一款 手机 品质 保证 正品 款 手机 性价比 高 内存 很大 操作 比较 灵敏 款 手机 买 非常 满意 
4,老爸 买 手机 起来 不错 系统 挺 用电量 还行 挺 满意 
4,发货 速度 很快 昨天 买 今天 拿到 非常 好看 滴 赶快 下单 
4,使用 外观设计 精美 运行 速度 快大 储存 耳机 音效 非常 
2,手机 刚 正在 设置 过程 中 渐渐 觉得 头晕 后来 实在 忍受 不了 发现 包装盒 散发 知道 胶 油墨 气味 一股 有机 化合物 气味 特别 特别 难闻 闻 头晕 想 一个 手机 应该 配 包装 太 廉价 下面 说 手机 试了试 相机 确实 拍照 清晰 剩下 以后 追加 评吧 今天 头晕 
0,拍照 效果 宣传 夸张 拍 夜景 很差 
4,产品质量 确实 非常 满意 个人电脑 具有 独立 操作系统 独立 运行 空间 用户 自行 安装 软件 游戏 导航 第三方 服务商 提供 程序运行 快捷 下载 软件 极快 说 直接 五星 好评 
4,手机 简直 手感 太棒了 非常 轻 太爱 手机 国产 之光 太棒了 太棒了 
4,外形 外观 外形 外观 中规中矩 非常 不错 屏幕 音效 屏幕 看着 眼睛 累 拍照 效果 拍照 效果 爸爸妈妈 够 运行 速度 运行 速度 不错 高通 处理器 棒棒 哒 待机时间 中度 使用 一天 一充 差 特色 送给 爸爸妈妈 礼物 喜欢 运行 速度 快 充电 速度 快 推荐 购买 
0,手机 买 一个多 星期 屏幕 有点 问题 底部 黑色 隐形 正在 换货 处理 中 但愿 一个 遇到 这种 情况 
0,六七天 发货 拿到 手机 包装盒 子 很大 手机 没 做好 防保 手机 每天 无缘无故 关机 电池 掉 很快 不怎么 一天 充 两次 电 从没 退货 习惯 选择 换货 售后 申请 快递 员 迟迟 不来 取件 害 在家 整整 两天 主动 打电话 亲自 快递 员送 过去 售后 检测 没 问题 会 问题 手机 返回 买手机 没 优惠 没 礼品 干嘛 京东 买 绝对 差评 以后 不会 再来 一次 够 
2,不错 很少 卖 机型 手机 壳 导致 买不到 好看 手机 壳 
4,手机 拍照 真是太 完美 感觉 以后 会爱上 拍照 吃 鸡 拍照 喜欢 
0,系统 起来 流畅 错 看成 天后 价位 降价 确实 挺快 性价比 挺高 
0,垃圾 手机 主打 拍照 音乐 刚用 一周 杂音 很大 一点 听不清 最差 一次 网购 
4,打打 游戏 足够 这款 屏幕 帧 王者 荣耀 帧 率 帧 
4,外形 外观 颜色 看上去 不会 图片 分隔 清晰 过度 比较 均匀 拍照 效果 像素 非常 清晰 送 一个 年节 礼盒 里面 日历 做 非常 精美 两盒 扑克牌 
2,实际 经历 提个醒 买手机 一定 京东 搞 活动 出手 保价 期 天 天前 买 手机 搞 活动 时 降价 只能 说 买 早 个人 经验 仅供参考 
1,分明 一个 广告 接收器 
4,外形 外观 外观 时尚 大气 好看 屏幕 音效 屏幕 不错 挺大 舒服 拍照 效果 拍照 够用 平时 扫 扫码 运行 速度 速度 很快 新机 快 待机时间 待机 很久 不错 特色 整体 不错 千元 机 性价比 高 
4,外形 外观 时尚 大方 高级 感 屏幕 音效 显示 效果 屏幕 尺寸 玩游戏 电影 运行 速度 价位 速度 性价比 超高 
4,外形 外观 好看 屏幕 音效 很棒 年龄 分段 拍照 效果 运行 速度 八核 处理器 很快 待机时间 特色 手机 
0,外形 外观 买 天 降价 一百 价格 保护 不了 
4,外形 外观 美丽大方 屏幕 音效 音效 不错 拍照 效果 相当 强 运行 速度 灰常快 待机时间 电池容量 很大 特色 大屏幕 大容量 拍照 超强 适合 我妈 玩 
4,想 好久 最终 选择 外观设计 手感 不错 颜色 喜欢 已经 完全 够用 打游戏 看电视 听 音乐 完全 够用 
0,新机 后盖板 压痕 客服 语气 不愧 公司 客服 机子 运行 还行 太卡 功能 挺 齐全 拍照 买来 老年人 没要 问题 省略 字齐 差评 凑字 玩 
4,刚买 完 第二天 降价 块钱 问 客服 说 保价 没有 退 退 
0,降价 真无语 
4,爱 爱 全 方面 满意 外观设计 高端 大气 好看 机身 正面 一块 英寸 屏幕 分辨率 达到 支持 屏幕 刷新率 触控 采样率 这块 屏幕 支持 德国 莱茵 低 蓝光 认证 显示 效果 更加 出色 长时间 使用 降低 用眼 疲劳 拍照 功能 更 没得说 大赞 加入 运动 抓拍 功能 不少 朋友 可能 解决 问题 拍摄 动物 家里 孩子 可能 一直 运动 情况 运动 抓拍 功能 会 追焦 万物 追焦 技术 保证 丢失 主体 拍摄 运动 物体 能够 非常 清晰 性能 方面 表现 不俗 搭载 天玑 旗舰 芯片 制程 工艺 打造 旗舰 芯片 采用 业内 领先 架构 主频 达到 爱 
1,手机 用起 时而 会卡顿 扫 一扫 时而 不了 真 怀疑 是不是 新机 问 客服 客服 不回 消息 只会 发送 自动 消息 差评 差评 
4,物流 很快 隔天 第一次 买买 两 性价比 高 外观 好看 大气 简约 喜欢 运行 流畅 全屏 手机 不论是 打游戏 看电视 小说 好像 素 高 出去玩 拍照 美美 哒 
4,已经 买 第个 劲 屏幕 更好 王者 荣耀 畅玩 
2,不怎么样 新手机 经常 死机 
2,手机 电量 耐用 
0,信号 非常 差 两个 手机 放 一起 一个 信号 全满 信号 这是 大厂 产品 
4,外观 挺 漂亮 速度 比较 快 画面 十分 清晰 摄像头 拍摄 效果 比较满意 待机时间 不能 恭维 实在 太短 白天 后续 会 使用 评价 
4,非常 不错 一款 手机 尤其 拍照 效果 不错 第二次 买 品牌 手机 
4,老粉 一部 手机 年 现在 仍然 流畅 最近 上市 像素 高 采用 蔡司 摄像头 机身 薄 期 无息 分期付款 真的 值得 入手 一个 功能 一如既往 支持 
4,已经 京东 买 第三部 手机 感觉 拍照 像素 清晰 支持 国产 买 苹果 硬件 软件 流畅 不卡 觉得 手机 越来越 价格 高 适合 普工 家庭 物流 速度 很快 包 快递 小哥 力 希望 活动 力度 更大 支持 国产手机 支持 国产手机 
4,京东 自营 快递 没得说 快 手机 盒 拿到 手 觉得 漂亮 手机 轻薄 颜色 想象 漂亮 使用 流畅 人性化 设计 亮点 蔡司 微云 台 很棒 
4,买 两台 性价比 不错 买 老人 正在 调试 希望 京东 自营 买 专卖店 
1,感觉 不值 价位 
4,小米 东西 品质 太好了 东西 颜值 高 京东 快递 配送 非常 快 特别 满意 京东 物流 配合 京东 最近 活动 实在 太 满意 
4,超级 漂亮 无论是 外观 内在 养眼 一个 手 操作 屏幕 超级 清晰 拍照 下边 图片吧 吹 运行 更是 没得说 
4,质量 保证价格 超 实惠 物流 挺快 力 满意 
4,外形 外观 造型 漂亮 好看 送 家人 比较 喜欢 屏幕 音效 屏幕 刷新 没 说 音质 做 不错 拍照 效果 接受 毕竟 价位 放着 运行 速度 处理器 爸妈 没 问题 
2,耗电 快 
0,外形 外观 外观 待机时间 充电 小时 通话 五分钟 运行 速度 新手机 有点 卡 
4,外形 非常 惊艳 薄且 漂亮 拍照 效果 非常 充电 非常 快 发货 很快 客服 非常 耐心 细心 专业 推荐 京东 购买 
4,京东 商城 购买 手机 非常 满意 非常 放心 全新 正品 手机 购买 手机 性能 性价比 外形 外观 款 手机 外观 时尚 精美 屏幕 音效 屏幕 表现 给力 
0,垃圾 手机 充满 电玩 一个 小时 剩 百分之 联系 客服 人工智能 说 牛头不对马嘴 真是 垃圾 自营 店 垃圾 手机 
0,真的 差劲 手机 搞不好 开个 软件 会 发烫 
4,买 老婆 老婆 喜欢 三星 屏幕 主要 听说 拍照 效果 机子 到手 相机 确实 给力 
