评论,评分,label,comment_processed
不好，新机子就都是毛病（卡，信号不稳定），换了两回都不行。,1,0,不好 新 机子 毛病 卡 信号 稳定 换 两回 不行 
用了几天怎么说啊！质量好坏先不管，就几天就变相降价了用好几样东西,1,0,几天 说 质量 好坏 先 几天 变相 降价 好几样 东西 
蓝牙连接有问题，反馈问题说了好几遍了，客服一直在说别的,1,0,蓝牙 连接 问题 反馈 问题 说 好几遍 客服 一直 说 
玩游戏死机，闪退 切换界面有停滞感,1,0,玩游戏 死机 闪退 切换 界面 停滞 感 
待机时间：带电时间太短了运行速度：有时候有点卡,1,0,待机时间 带电 时间 太短 运行 速度 有时候 有点 卡 
手机不好用，没有实体店里买的用的流畅，用了一个月零三天开不了机，联系京东售后，一肚子火，前列建议大家不要买，同样的价格去实体店买的放心买的安心！,1,0,手机 不好 没有 实体 店里 买 流畅 一个月 三天 开 不了 机 联系 京东 售后 一肚子火 前列 建议 不要 买 同样 价格 实体店 买 放心 买 安心 
不满意，刚买就降200.,1,0,满意 刚买 降 
手机来了，视频聊几分钟天就发烫，联系客服还不好好说话,1,0,手机 视频聊 几分钟 天 发烫 联系 客服 好好 说话 
缺点：电池真的不耐用，耗电量很快，买了就后悔?,1,0,缺点 电池 真的 耐用 耗电量 很快 买 后悔 
玩游戏卡顿，手机待机时间不长，容易发烫,1,0,玩 游戏卡 顿 手机 待机时间 长 容易 发烫 
拍照效果：抖动厉害待机时间：充满电没使用24小时掉电54%,1,0,拍照 效果 抖动 厉害 待机时间 充满 电 没 使用 小时 掉电 
待机时间：手机耗电快要死！才买了十天就这样！,1,0,待机时间 手机 耗电 快要 死 买 十天 
玩吃鸡点击屏幕触屏有时没有反应，不知道是我这台触屏有问题还是咋了,1,0,玩 吃 鸡 点击 屏幕 触屏 没有 反应 知道 台触 屏有 问题 
不好我一天都不敢玩手机了，100%的电都不敢怎么用一天都管不了,1,0,不好 一天 不敢 玩 手机 电 不敢 一天 管不了 
手机为什么才用十几分钟就发烫了,1,0,手机 十几分钟 发烫 
卡死机一次，差。日后希望仔细检查再发货。,1,0,卡 死机 一次 差 日后 希望 仔细检查 发货 
手机还行，手机自带耳机是坏的，给客服发消息都不带回的，让登录网站各种查！,1,0,手机 行 手机 自带 耳机 坏 客服 发消息 带回 登录 网站 查 
运行速度：慢待机时间：一天屏幕音效：还行外形外观：还行拍照效果：一般其他特色：还行,1,0,运行 速度 慢 待机时间 一天 屏幕 音效 行 外形 外观 行 拍照 效果 特色 行 
可能是我运气差吧，遇到后盖有个印，不过不影响使用，其他的倒是挺满意,1,0,可能 运气 差 遇到 后盖 印 影响 使用 倒 挺 满意 
新机 不稳定  电量不够  物流慢     购买需慎重,1,0,新机 稳定 电量 不够 物流 慢 购买 需 慎重 
电池不耐用，没怎么玩手机，电池也去得很快,1,0,电池 耐用 没 玩 手机电池 很快 
卡得要死，还没3G网快，,1,0,卡得 要死 没 网快 
高高兴兴买个手机，结果买回拆开充电不了。心里凉一半影响购物体验。,1,0,高高兴兴 买个 手机 买 回 拆开 充电 不了 心里 一半 影响 购物 体验 
用了那么多台vivo，这台最差的，发热快，耗电快,1,0,多台 这台 最差 发热 快 耗电 快 
手机买一个月，价格降了300块钱，这样糟心的购买体验你们想尝试的就下单吧！,1,0,手机 买 一个月 价格 降 块钱 糟心 购买 体验 想 尝试 下单 
说是电池容量很大，但感觉和我的旧手机差不多，虽然充电确实快是否认不了的,1,0,说 电池容量 很大 感觉 旧 手机 差不多 充电 确实 快 否认 不了 
大家还是别买这款机器了，去实体店买吧，我买了8天就调价，每天价格都不一样。,1,0,别买 这款 机器 实体店 买 买 天 调价 每天 价格 
手机耗电太快了   其它还好     用了几天过来评价的,1,0,手机 耗电 太快 还好 几天 过来 评价 
刚买的手机一玩就发热，烫的要死，以后都不要买vivo了,1,0,刚买 手机 一玩 发热 烫 要死 以后 不要 买 
到手没一个月，后置摄像头有灰尘，WiFi信号不好就算了连手机网络也不好,1,0,到手 没 一个月 后置 摄像头 灰尘 信号 不好 手机 网络 不好 
电量一天都用不到！信号也不好！！！经常断网！！,1,0,电量 一天 不到 信号 不好 经常 断网 
手机买贵了，比市场价贵了三百，有点不愉快，客服也没有能给解决一下,1,0,手机 买贵 市场价 贵 三百 有点 愉快 客服 没有 解决 一下 
手机电池用不住，还容易发烫，体验感不是太好,1,0,手机电池 不住 容易 发烫 体验 感 不是太好 
刚买还没到手就降价了，当时有事忘记申请退款，现在又涨价，不退了。闹着玩吗？一天一个价。以前感觉vivo挺好用的，所以才继续买的，有了这次经历以后再也不会买vivo了。x30一般般,1,0,刚买 没 到手 降价 当时 有事 忘记 申请 退款 现在 涨价 不退 闹着玩 一天 一个 价 以前 感觉 挺好用 继续 买 经历 以后 再也不会 买 一般般 
手机不怕磕碰么，盒子里面就一个手机，一点保护措施没有,1,0,手机 磕碰 盒子 里面 一个 手机 一点 保护措施 没有 
外观还可以，用了一周最大的感触，微信语音，贴耳朵旁边了，还是外放，之前的手机就没有这种问题，任务栏在上面，拉下来回不去，之前用的vivo系统挺好的，站在不知道怎么这样了,1,0,外观 一周 最大 感触 微信 语音 贴 耳朵 旁边 外放 之前 手机 没有 这种 问题 任务栏 上面 拉 下来 回不去 之前 系统 挺 站 知道 
而且最重要最重要的是他们所说的大电池。可是，电量耗得非常的快。我想说这是为什么？,1,0,重要 重要 所说 电池 电量 耗得 非常 快 想 说 
这款手机与我现在的n8相比较画面不清晰，拍照也不怎么样，总体来说跟广告介绍相差甚远,1,0,款 手机 现在 相 比较 画面 清晰 拍照 不怎么样 总体 广告 介绍 相差 甚远 
手机系统在日常使用，桌面有卡顿的想象，还有时屏幕没有反应,1,0,手机 系统 日常 使用 桌面 有卡顿 想象 时 屏幕 没有 反应 
外形外观：好难看屏幕音效：还行拍照效果：一般般运行速度：慢待机时间：短其他特色：呃呃。大家不要买了垃圾手机一个,1,0,外形 外观 难看 屏幕 音效 行 拍照 效果 一般般 运行 速度 慢 待机时间 短 特色 不要 买 垃圾 手机 一个 
体验了一下，觉得买的有些后悔了，充电慢，音质差，振动小。不实用。,1,0,体验 一下 觉得 买 后悔 充电 慢 音质 差 振动 实用 
wifi连接不好，无IP分配，别的手机都能连，就vivo的不行，网上一查是vivo手机的通病，忘改进不然品牌未来堪忧。,1,0,连接 不好 分配 手机 不行 网上 一查 手机 通病 忘 改进 品牌 未来 堪忧 
连蓝牙连接卡顿播放视频卡，手机地图导航定位也不准,1,0,蓝牙 连接 卡顿 播放 视频卡 手机 地图 导航 定位 不准 
很多软件下载了 点进去了就自己退出了打电话也是自己挂断,1,0,很多 软件 下载 点 进去 退出 打电话 挂断 
收到非常高兴，但是用了两分钟手机发热，充电一分钟非常热,1,0,收到 非常高兴 两分钟 手机 发热 充电 一分钟 非常 热 
刚刚收到，打开用了一会，手机背部有点烫，还有，刚下单，就降价了100，客服让我凌晨0点到两点找他补差价！我准备让周公去找他,1,0,刚刚 收到 打开 一会 手机 背部 有点 烫 刚 下单 降价 客服 凌晨 点到 两点 找 补 差价 准备 周公去 找 
从成都送过来四五个小时的事送了三天，现在还没到就已经给我签收了，至今不知道手机送到哪里去了,1,0,成都 送过来 四五个 小时 事 送 三天 现在 没到 已经 签收 知道 手机 送到 
手机刚拿到才下了两个软件手机就发热了，问客服没回复，像素画面不是很好，和我那旧手机差不多,1,0,手机 刚 拿到 两个 软件 手机 发热 问 客服 没 回复 像素 画面 旧 手机 差不多 
耳机插上声音巨小，而且会一会就变外放，而且有搭-搭-搭-的声音，而且应该不是耳机本身问题,1,0,耳机 插上 声音 巨小 会 一会 变 外放 搭 搭 搭 声音 应该 耳机 问题 
手机网络数据差，差得无法形容。同样的电话卡，vivoX30por网络是最卡的,1,0,手机 网络 数据 差差 无法形容 同样 电话卡 网络 最卡 
一直都用的是vivo的手机，一直感觉还可以，直到昨天晚上因为充电把我烫醒了，我就想知道是啥原因引起的发烫连个人工客服都没有,1,0,一直 手机 一直 感觉 昨天晚上 充电 烫 醒 想 知道 原因 引起 发烫 连个 人工 客服 没有 
下单的时候看到有赠品赠送的，实际上拿到手了一部手机，然后就什么都没有了，说好的那些自拍杆啊，充电宝之类的都去哪了？,1,0,下单 看到 赠品 赠送 实际上 拿到 手 一部 手机 没有 说好 自拍杆 充电 宝 
待机时间：没这么好，处理器还是跟855没得比，时间耗电，上面功能很大,1,0,待机时间 没 处理器 没得 时间 耗电 上面 功能 很大 
手机没问题，非常喜欢。正品全新未拆封的，就是商家有点扯皮，买前说好B站会员，买完给个爱奇艺，还爱要不要的那种,1,0,手机 没 问题 非常 喜欢 正品 全新 未 拆封 商家 有点 扯皮 买前 说好 站 会员 买 完 爱奇艺 爱要 不要 那种 
太垃圾了，电池太垃圾，晚上充满电，第二天上午没电了。可以申请退款吗？,1,0,太 垃圾 电池 太 垃圾 晚上 充满 电 第二天 上午 没电 申请 退款 
电池不耐用，掉电非常快，睡觉前充满睡觉，早上起来掉电百分之十，白天放在家里一天都没用，手机都是热的，也会掉电百分之三四十。,1,0,电池 耐用 掉电 非常 快 睡觉 前 充满 睡觉 早上 起来 掉电 百分之十 白天 放在 家里 一天 没用 手机 热 会 掉电 百分之三四十 
电池不好,1,0,电池 不好 
第一次对vivo失望 是特别失望 新手机就卡顿严重 用久了会什么样真不敢相信 果断退货了,1,0,第一次 失望 特别 失望 新手机 卡顿 严重 用久 会 真 不敢相信 果断 退货 
细节设计上赶不上华为①电量多少只能显示在电池图标内，根本看不清，相当于电量百分比功能没有。问客服说这个版本无法显示到电池外。②没有找到将wifi分享给其他设备功能③关闭软件只能上划，实际发现有的根本没关闭，后台耗你流量和电量。整体体验感不好！,1,0,细节 设计 赶不上 华为 电量 只能 显示 电池 图标 根本 看不清 相当于 电量 百分比 功能 没有 问 客服 说 版本 无法 显示 电池 外 没有 找到 分享 设备 功能 关闭 软件 只能 划 实际 发现 根本 没 关闭 后台 耗 流量 电量 整体 体验 感 不好 
搜索网址历史纪录并非一般一条一行模式，看起来乱，就象不规范的小网站显示。对体验要求高的不推荐买此手机,1,0,搜索 网址 历史纪录 一条 一行 模式 看起来 乱 象 规范 网站 显示 体验 要求 高 推荐 买此 手机 
第一个买的音质上远远好于这个。能有专业人来讲一讲吗？同一首歌，这个音质有点磁性，第一次买的好着,1,0,第一个 买 音质 远远 好于 专业 来讲 一讲 同一首歌 音质 有点 磁性 第一次 买 
被偷了，还是买个这个,1,0,偷 买个 
今天到手冲满电后开始看新闻，不到四个小时电就剩36%了,1,0,今天 到手 满电 新闻 不到 四个 小时 电 剩 
室内天气就五六度，冷得脚趾头都痛，充电时手机还可以当暖宝宝用,1,0,室内 天气 五六 度 冷得 脚趾头 充电 时 手机 当暖 宝宝 
物流整体还是可以的，但是他们的价格居然比实体店还贵了几百块，问客服告诉我说没办法，明码实价，只能怪自己买的时候没看价格了，说不出来道理。没想到现在他们卖东西价格贵这么多，请大家避免入坑吧,1,0,物流 整体 价格 居然 实体店 还贵 几百块 问 客服 告诉 说 没 办法 明码 实价 只能 怪 买 没 价格 说不出来 道理 没想到 现在 卖东西 价格 贵 请 避免 入坑 
买货需谨慎，当地询价对比后在买吧，价格真的贵。,1,0,买货 需谨慎 询价 买 价格 真的 贵 
运行速度一般，有点失望。待机时间可坚持白天一天，就微云台算是特色，刷新率，处理器都不行。外观还可以，服务每次拖拖拉拉，买了两台手机，手机不是发错就少发，降价太快，不如加点钱买华为,1,0,运行 速度 有点 失望 待机时间 坚持 白天 一天 微云 台 算是 特色 刷新率 处理器 不行 外观 服务 每次 拖拖拉拉 买 两台 手机 手机 发错 少发 降价 太快 加点 钱 买 华为 
拍照效果还不错 但是 也只是拍照  玩游戏什么的  就放弃吧  不合适,1,0,拍照 效果 不错 拍照 玩游戏 放弃 合适 
充电慢，用电快，充满电手机放在那里不用也电耗的快，哎买错手机了，用电太快了哎哎哎,1,0,充电 慢 用电 快 充满 电 手机 放在 不用 电耗 快 买 错 手机 用电 太快 
物流非常快，手机非常烫，卡是真的卡，新手机就卡真的，续航还可以吧,1,0,物流 非常 快 手机 非常 烫 卡 真的 卡 新手机 卡 真的 续航 
不好用，装上指纹不好用，手机屏看着难受了，希望大家慎重选择，物不值价。,1,0,不好 用装 指纹 不好 手机 屏 看着 难受 希望 慎重 选择 物 不值 价 
vivox60/12+256手机挺好，拍摄很清晰整体性价比高。但是商家7天无举证退换货有只是噱头的嫌疑，本身自带缺陷只要拿到手商家就不承认，不采取鉴定措施定责直接以无法判定推脱而拒绝退换。在此提醒用户还是检验好再签收，以免造成窝心不愉快的购物体验。顺便把手机缺陷部位照片附上让大家有个见证和分析也希望大家注意。,1,0,手机 挺 拍摄 清晰 整体 性价比 高 商家 天无 举证 退换货 噱头 嫌疑 自带 缺陷 拿到 手 商家 承认 采取 鉴定 措施 定责 直接 无法 判定 推脱 拒绝 退换 提醒 用户 检验 签收 造成 窝心 愉快 购物 体验 顺便 手机 缺陷 部位 照片 附上 有个 见证 分析 希望 注意 
追评：新机刚好买一个月出现手机发热、自动关机现象，联系客服，强制开机才可以，不知道后续还会不会自动关机,1,0,追评 新机 刚好 买 一个月 出现 手机 发热 自动关机 现象 联系 客服 强制 开机 知道 后续 还会 不会 自动关机 
手机刚买一个多月，前几天出下无故关机，最近几天，已经出现了几次手机卡，无服务，无移动网络，需要关机重启后，才能恢复，真垃圾，无语,1,0,手机 刚买 一个多月 前 几天 出 无故 关机 最近 几天 已经 出现 几次 手机卡 服务 移动 网络 需要 关机 重启 恢复 真 垃圾 语 
用了不到一个月，高级修图APP就啦了，滤镜点了，照片直接黑屏。，还得从新下载安装APP。好失望,1,0,不到 一个月 高级 修图 滤镜 点 照片 直接 黑屏 新 下载安装 失望 
耗电快 还发热 五个小时耗电百分之七十 最大缺点耗电量快   还发热,1,0,耗电 快 发热 五个 小时 耗电 百分之七十 最大 缺点 耗电量 快 发热 
手机有卡顿，看新闻时屏幕下滑不流畅，屏幕像素也不行，说的送爱奇艺会员也一直不兑现,1,0,手机 有卡顿 新闻 时 屏幕 下滑 流畅 屏幕 像素 不行 说 送 爱奇艺 会员 一直 兑现 
外壳好看，相机还不错，音质清晰就是高音有些许刺耳，裸机有点偏厚，待机时间一直玩能撑十多个小时吧，买了两个月了，标注送蓝牙耳机到现在都没补发客服也不理人我也是无语了！一星给售后,1,0,外壳 好看 相机 不错 音质 清晰 高音 些许 刺耳 裸机 有点 偏厚 待机时间 一直 玩能 撑 十多个 小时 买 两个 月 标注 送 蓝牙 耳机 现在 没 补发 客服 不理 无语 一星 售后 
拍照效果：一般外形外观：笨重屏幕音效：凑合待机时间：非常差运行速度：勉强过得去耗电不是一般的快,1,0,拍照 效果 外形 外观 笨重 屏幕 音效 凑合 待机时间 非常 差 运行 速度 勉强 过得去 耗电 快 
垃圾东西，一天两充。还没开5G耗电非常快。真让劳资失望，从此以后不用vivo了,1,0,垃圾 东西 一天 两充 没开 耗电 非常 快真 劳资 失望 从此以后 不用 
一直都是用的vivo的手机，这次这手机真不行，买回来不到一天X60就划不动屏幕，放一晚上第二天划屏又可以，又找不到原因,1,0,一直 手机 手机 真 不行 买回来 不到 一天 就划 不动 屏幕 放一 晚上 第二天 划屏 找 不到 原因 
用了几天电池突然出现问题，晚上充满早上起来百分之四十电没了，白天上班不玩手机，不到下班手机没电自动关机！,1,0,几天 电池 突然 出现 问题 晚上 充满 早上 起来 百分之四十 电 没 白天 上班 不玩 手机 不到 下班 手机 没 电 自动关机 
外形外观：很适合女孩子用运行速度：老是卡待机时间：待机耗电其他特色：运行速度真的很慢，元旦买的，现在网页老是打不开，而且耗电特别快,1,0,外形 外观 适合 女孩子 运行 速度 老是 卡 待机时间 待机 耗电 特色 运行 速度 真的 慢 元旦 买 现在 网页 老是 打不开 耗电 特别 快 
说实话这是我第一次再京东买这么不好的东西，不是说不是正品，是这款手机本身的问题，我对手机没有很高的要求，但是这款手机没有我原来vivo的手机好，没有夜间远红外功能，没有视频美颜功能，录像功能的美颜也是不是很好用,1,0,说实话 第一次 京东 买 不好 东西 说 正品 这款 手机 问题 手机 没有 高 要求 款 手机 没有 原来 手机 没有 夜间 远红外 功能 没有 视频 美颜 功能 录像 功能 美颜 是不是 
没有耳机孔，防抖有延迟，只有4800万像素，或许只有做工好一些，外表倒是挺好看，基本上毫无特色，幸好给朋友买的，害，差评,1,0,没有 耳机 孔防抖 延迟 万 像素 或许 做工 外表 倒 挺 好看 基本上 毫无 特色 幸好 朋友 买 害 差评 
手机拍照效果很好，特别是夜景模式，手机给五星好评。附赠的电信卡，我真的怀疑是不是vivo联合中国电信一起**，上面学着激活包用2个月，**我激活后充值200用了6天直接停机了,1,0,手机 拍照 效果 特别 夜景 模式 手机 五星 好评 附赠 电信卡 真的 怀疑 是不是 联合 中国电信 一起 上面 学着 激活 包用 月 激活 充值 天 直接 停机 
1，包装盒呀变形2，开车时候，出现网络无信号，同路段，把卡安装回旧手机后0K。3，导航出现我多开了10km路，,1,0,包装盒 变形 开车 出现 网络 信号 路段 卡 安装 回旧 手机 导航 出现 我多开 路 
已退货，完全颠覆了我原来对vivo品牌的认知和忠诚，手机买回来不到五天，接了一个稍微长一点的电话，对方挂机后本手机直接黑屏死机，任何操作都没反应，退货时我连数据都没法导出来,1,0,退货 完全 颠覆 原来 品牌 认知 忠诚 手机 买回来 不到 五天 接 一个 稍微 长 一点 电话 挂机 后本 手机 直接 黑屏 死机 操作 没 反应 退货 时 数据 没法 导出来 
1.开机到设置完花了10.20分钟，就能明显的感到烫2.618当天买的，619便降价，所有的优惠下来，619天dd价格比618便宜几十，却无法申请价格保护,1,0,开机 设置 完花 分钟 明显 感到 烫 当天 买 便 降价 优惠 下来 天 价格比 便宜 几十 无法 申请 价格 保护 
运行速度：还行。。待机时间：一般。。够耍一天。买了，第二天就降一百多。。只有差评了。拍照效果：不错，挺清晰的。,1,0,运行 速度 行 待机时间 够 耍 一天 买 第二天 降 一百多只 差评 拍照 效果 不错 挺 清晰 
不能自动连接蓝牙啊，来电话后，就断了，还要点连接蓝牙，来20个电话，就要点20次，问客服，说是我蓝牙的问题,1,0,不能 自动 连接 蓝牙 电话 断 点 连接 蓝牙 来个 电话 要点 次 问 客服 说 蓝牙 问题 
这款手机  性价比不行  电池待机时间短  整体流畅度差 最主要网络不好  不知是手机原因还是我通讯卡的原因,1,0,款 手机 性价比 不行 电池 待机时间 短 整体 流畅 度差 主要 网络 不好 不知 手机 原因 通讯 卡 原因 
其他都好 就是手机电池啊耐用 耗电很快 一天都撑不了 不用的时候放着都很烫 随便用一下温度就很高,1,0,手机电池 耐用 耗电 很快 一天 撑 不了 不用 放着 烫 随便 一下 温度 高 
