Anyone can do that.	任何人都可以甘做。 
The baby smiled at me.	宝宝对我笑笑口。 
Did he propose to you?	佢同你求婚？ 
Cheese is made from milk.	芝士系由牛奶做。 
I help my mother with the housework every day.	我每日同妈咪做家务。 
I spoke with him about the matter.	我同佢倾左尼件事。 
The friend who I thought would pass the exam failed it.	我以为会通过考试果个朋友考试失败左。 
They are very big apples.	佢地系好大个苹果。 
How dare you!	好大的胆！ 
He must have taken the wrong train.	佢一定系坐错火车啦。 
I understand how to solve the problem.	我知点解决尼个问题。 
How many children do you have?	你有几个仔？ 
He no longer lives here.	佢唔再住系尼度。 
He is the same age as me.	佢同我同岁。 
Industry as we know it today didn't exist in those days.	我地今日所知的工业系果的日子企唔存在。 
That boy used to drop in on me.	个男仔过去常黎探我。 
I think you'll have very little difficulty in getting a driver's license.	我想你罗去找唔会有咩困难。 
Run.	走呀。 
He told me to do it, so I did it.	佢叫我做尼件事，我就做左。 
That is not my line.	甘唔系我台词。 
She lives in a large house.	佢系一间大屋。 
A doctor told me that eating eggs was bad for me.	医生，话比我食鸡蛋对我唔好。 
She asked him to open the window.	佢比佢打开窗。 
She has a flower in her hand.	佢手里罗住一朵花。 
I have just finished my homework.	我刚刚做埋工作。 
You look pale today.	你今日面青青。 
I'm counting how many people there are.	我系数有几多人。 
I felt that my honor was at stake.	我觉得我荣誉岌岌可危。 
Money isn't the only thing that matters.	有钱唔系唯重要的野。 
Tom just never should've done that.	阿Tom，根本就唔应该甘做。 
I don't want there to be any misunderstanding.	我唔想有任何误会。 
He may not be happy.	佢可能唔开心。 
The hunter shot the fox dead.	猎人将狐狸打死。 
He goes to school to study every day.	佢日日都去学校学习。 
I spent last Sunday reading a novel.	上个礼拜日我读左一本小说。 
Mary closed the door quietly.	阿Mary静鸡鸡关度门。 
You smoke far too much. You should cut back.	你食烟太多啦。 你应该削减使用。 
I wish I could have spoken Spanish.	我希望我会讲讲西班牙文。 
There's nothing I wouldn't do for Tom.	为左阿Tom我咩都肯做。 
Tom was making French fries.	阿Tom系度做炸薯条。 
I study for 3 hours every day.	我每日学习3个钟。 
He was home alone at the time.	当时佢独自系屋企。 
I'm tired of listening to his boasts.	我听厌佢牙擦擦。 
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由于大雪，从北京黎的飞机晏左四个字。 
You may use my new car.	你可以用我新车。 
Where is the vodka?	伏特加系边呀？ 
If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	如果一个人成年后都冇机会揸手佢标的语言，佢就唔好可能去到母语水平。 
He hurried so he wouldn't miss the train.	佢匆忙，以免赶不上火车。 
Don't go out after dark.	天黑以后唔好出去。 
They arrived here safely yesterday.	佢地寻日安全到达尼度。 
None of those books are useful.	果的书冇一本系有用的。 
I just said something very stupid.	我刚刚讲左的好寿的野。 
If I were you, I'd want to know what Tom is doing right now.	如果我系你，我会想知阿Tom而家系度做紧咩。 
I often went fishing with him.	我成日同埋佢去钓鱼。 
I hope we find Tom.	我希望我地可以揾到阿Tom。 
You used to be able to see the church from here.	你以前可以系尼度体到教堂。 
Can we do it?	我地可以做到呀？ 
I've never told anyone about this.	我冇讲过任何人尼件事。 
One thousand dollars will cover all the expenses for the party.	一千美元可以支付今次聚会的所有使费。 
Fire is always dangerous.	火成日危险。 
The meeting was called off.	会议比取消左。 
They welcomed me warmly, so I felt at home.	佢地热烈甘欢迎我，所以我有宾至如归的感觉。 
Tom pulled Mary out of the water.	阿Tom将阿Mary水里拉左出黎。 
I have class tomorrow.	我听日有课。 
Tom fell asleep in class.	阿Tom上堂时训着左。 
Tom can't get his car started.	阿Tom发动唔到佢汽车。 
This is a very beautiful flower.	尼一朵好靓花。 
Best wishes from all of us.	我地所有人致以最大好的祝愿。 
My aunt gave me a camera.	我阿姨比左我一部相机。 
I don't understand music.	我唔识音乐。 
I wish I was young again.	我希望我又后生啦。 
I'm not guilty of anything.	我冇任何罪过。 
A bird can fly.	鸟会飞。 
His office is near the train station.	佢办公室系火车站附近。 
A swarm of hornets attacked the children.	尼班黄蜂袭击尼左仔们。 
She stirred her coffee with a teaspoon.	佢用茶匙搅拌咖啡。 
When are you going to quit smoking?	你打算几时戒？ 
He ran into the room.	佢跑进房。 
What are we having for dinner?	我地消夜食咩？ 
You'll get lost.	你会荡失路。 
My cell phone has a built-in digital camera.	我手机内建数码相机。 
Hold your horses, young man.	唔好心急，后生仔。 
Six divided by two equals three.	六除以二系三。 
I am able to drive a car.	我识揸车。 
I could answer all the questions.	我可以答所有的问题。 
Can you do bookkeeping?	你会记账吗？ 
They're all the same size.	佢地都一样大。 
What do you two do for fun?	你地两个做咩好玩的？ 
No one lives in this building.	这栋楼入便冇人住。 
I'm sick and tired of hamburgers.	我厌倦左汉堡包。 
They married when they were young.	佢后生果阵就结左婚。 
I would have liked to come with you, but I didn't have time.	我本来想同你一齐去的，但系我无时间。 
Academic fraud is more common than you might think.	学术欺诈比你想象的更加遍。 
That's exactly what I wanted to see happen.	尼个正系我想体到的。 
I'm afraid there isn't any coffee left.	体怕冇咖啡。 
While I was reading in bed last night, I fell asleep with the light on.	我寻晚摊系张床上体书的时候，开住灯训着左。 
He'll be back home soon.	佢好快就会返屋企。 
We sometimes swim in the lake.	我地有时系湖里游水。 
Charles Lindbergh made the first solo flight across the Atlantic Ocean in 1927.	查尔斯·林德伯格于1927年首次独自飞越大西洋。 
His shirt was stained with sauce.	佢衬衫比酱汁整污糟啦。 
I am just going for a walk.	我只系去散散步。 
We found the front door locked.	我地发现前门比锁。 
He is so heartless.	佢好倔情啦。 
I'm playing a TV game.	我玩紧电视游戏。 
Let's go now.	我地而家走啦。 
Control is everything.	控制就系一切。 
Swimming is easy.	游水好易。 
He held a package under his arm.	佢胳肋底挟住个包裹。 
She looks pretty in that dress.	佢着果件衫好靓。 
Why are you here?	你做咩系度？ 
She asked us to leave her alone.	佢比我地行佢远的。 
Thanks very much for having me to dinner the other night.	多谢晒果晚请我食饭。 
After they argued, they didn't speak to each other for a week.	佢地拗撬之后，一个礼拜冇讲。 
Tom slipped out of the classroom.	阿Tom松出左班房度。 
You ought to ask for your teacher's permission.	你应该征得老师的同意。 
The clock has stopped.	钟停左。 
When did your friend leave for America?	你的朋友几时去美国的？ 
They grow flowers in the garden.	佢地系花园度种花。 
She told me an interesting story.	佢比我讲左个得意的故事。 
I received her letter yesterday.	我寻日收到左佢信。 
I slept on the bus.	我系巴士度训觉。 
Stand aside.	企埋便呀。 
By the year 2020, the population of our city will have doubled.	到2020年，我地城市的人口将抄一番。 
Tom has been really busy recently.	阿Tom尼排真系好忙。 
The swimmers were numb with cold.	游泳者冻到痹啦。 
Many moons orbit around Saturn.	好多卫星围绕土星运行。 
I spent the whole day in reading the novel.	我用左成日体小说。 
Volcanic ash disrupted air travel.	火山灰扰乱左航空旅行。 
I'm surprised that you don't know about their marriage.	我好惊讶你竟然唔知佢地的婚礼。 
Mom, I'm hungry.	妈咪，我好肚饿。 
He earned his living as a teacher.	佢以做老师为生。 
She loves chocolate, too.	佢都钟意朱古力。 
It has been cold since yesterday.	由琴日开始就一直好冻。 
She must have been sick.	佢一定系病。 
I'm not very good at swimming.	我唔系好擅长游水。 
Switch on the light. I can't see anything.	打开灯。 我咩都体唔到。 
Do you drink coffee?	你饮咖啡啊？ 
I promise I'll do that tomorrow.	我保证我听日会做果件事。 
Some people never grow up.	有的人永远长唔多。 
I will write to you soon.	我好快会写信比你。 
I'm starving!	我饿死啦！ 
This place has a mysterious atmosphere.	尼个地方有一种神秘的气氛。 
It takes 165 years for Neptune to orbit around the sun.	海王星兜太阳一周需要165年。 
The curtain fell.	幕布留低左。 
I expect you to be punctual.	我希望你准时。 
While reading a book, I fell asleep.	系体书的时候，我训着左。 
You shouldn't have eaten so much ice cream.	你唔应该食甘多雪糕。 
You have a point there.	你讲得有道理。 
Quit gambling.	戒掉赌。 
Cows provide us with milk.	奶牛为我地讲吓野啦！牛奶。 
She enjoyed herself at the concert.	佢系音乐会度玩得好开心。 
She gave me a strange look.	佢怪甘体左我一眼。 
I am an optimist by nature.	我天生系个乐观主义者。 
He erased his speech from the tape.	佢将佢讲野由录音带上吖。 
Do you have a larger size?	你有大一号的咩？ 
Do they love each other?	佢地大家相爱吗？ 
Halley's Comet will come back in 2061.	哈雷彗星将于2061年回归。 
I'm not living with him anymore.	我唔再同佢系埋一齐。 
My aunt brought me some flowers.	我阿姨比我带黎左一的花。 
I don't have a computer at home.	我屋企，无电脑。 
I returned the book to the library.	我还返本书比图书馆啦。 
Who can tell the difference?	边个可以体出有咩唔同？ 
I'll eat here.	我系度食。 
Tom needed treatment.	阿Tom需要治疗。 
She must still be in her twenties.	佢肯定仲廿几年。 
I wish Tom were my younger brother.	我希望阿Tom系我细佬。 
Do you eat out often?	你成日系出便食饭呀？ 
I can do it alone.	我一个人可以做。 
He is very stingy with his money.	佢好洗钱孤寒。 
Give me a bottle of wine.	比我一支酒。 
I really want to speak English fluently.	我真系好想讲一啖流利的英语。 
The Oscar ceremonies are Hollywood's biggest extravaganza.	奥斯卡颁奖典礼系荷李活最大的盛会。 
Do you read French every day?	你每日读法文吗？ 
How much is the rent per month?	每个月租金几多？ 
The clock stopped.	自停左。 
Who is to blame for the accident?	边个要为今次事故负责？ 
I will give you a bike for your birthday.	我会送你架单车作为你的生日礼物。 
Deal with them.	对付佢地。 
She squeezed the juice from many oranges.	佢系好多橙中榨出果汁。 
I've never seen that guy before.	我都未见过果条友。 
It's obvious why his stomach hurts.	佢个肚好痛罗好明显。 
I wish I had a better memory.	我希望我有更好的记忆力。 
I don't feel like studying English today.	我今日唔想学英文。 
Sorry to have kept you waiting.	唔好意思，要你等甘耐。 
I don't think that she will come.	我认为佢唔会黎。 
No student went to the party.	冇学生去参加聚会。 
The roof was damaged by the storm.	瓦背顶比暴风雨损坏啦。 
Today our artificial satellites are revolving around the earth.	今日，我地的人造卫星屈住地球转。 
He teaches English to his friends.	佢教佢朋友英文。 
Have you turned in your report?	你交报告？ 
He wants a book to read.	佢想要一本书黎读。 
Sorry it took me so long to write to you.	唔好意思，过左甘耐先写信比你。 
They forgot to lock the door.	佢地唔记得锁门。 
Have you answered that letter yet?	你回复果封信呀？ 
Tom told me he had a right to see it.	阿Tom话比我知佢有权体。 
She really does like animals.	佢真系好钟意动物。 
What's the climate there like?	果度的气候点啊？ 
I like children. That's why I became a teacher.	我钟意细路仔。 尼个系我做老师罗。 
Here are some pictures.	尼度有一的图片。 
May I have a glass of milk, please?	唔该比杯牛奶好吗？ 
I'll be at home in the morning.	我朝早会系屋企。 
Will you show me your passport, please?	请出示你的护照好吗？ 
My father died of lung cancer.	我阿爸死于一个肺癌。 
How did you enjoy the concert?	你中意尼场音乐会吗？ 
This is exactly what I wanted.	尼个正系我想要的。 
That's my problem.	甘我的问题。 
Please let me go.	唔该比我走啦。 
I've missed another chance.	我又嘥左一次机会。 
I have a cough and a little fever.	我有无咳，仲有D发烧。 
I managed to get there in time.	我设法及时赶左去晒边。 
The lock is broken.	锁坏左。 
Half of these apples are rotten.	尼的苹果有一半烂了。 
I changed trains at Tokyo Station.	我系东京企换车。 
She's in the garden planting roses.	佢系个花园度种玫瑰花。 
Tom can't tell Mary his real feelings.	阿Tom唔可以话阿Mary佢真实感受。 
The guests are in the kitchen.	客，的人系厨房度。 
Would you like some of those pictures?	你想要一的的相呀？ 
I appreciate your cooperation.	我多谢你合作。 
I like swimming, but I don't like to swim here.	我钟意游水，但我唔钟意系尼度游水。 
I don't mind if it's a little cold.	我唔介意天时有的冻。 
The weatherman says there is a storm on the way.	天气预报员话暴风雨即将来临。 
How about a drink after the game?	比赛结束后饮杯点啊？ 
After you have read it, give the book back to me.	你读完之后，还返本书比我。 
I have a new car.	我有一部新车。 
I graduated from high school last year.	我旧年高中毕业啦。 
Keep going straight.	一直向前走。 
Smoking is prohibited.	禁止吸烟。 
Get them before they get us.	系佢地捉到我地之前捉到佢。 
Tom went into the kitchen and poured himself a cup of coffee.	阿Tom走进厨房，比自己倒左一杯咖啡。 
I think that's awful.	我觉得甘好可怕。 
Orange juice, please.	唔该比我橙汁。 
I continued singing.	我继续唱歌。 
They rescued the boy from drowning.	佢地溺水的男仔救左出黎。 
Tom is on the go day and night.	阿Tom日日频扑。 
You must be careful of the traffic when you cross the street.	你过马路果阵，一定要小心车流。 
He plays golf two or three times a month.	佢一个月打两三次哥尔夫球。 
Tom slept until noon.	阿Tom一直训到晏昼。 
He doesn't know how to swim.	佢唔识游水。 
He'll do whatever you ask him to.	你比佢做的咩佢就做咩。 
Whether you like it or not doesn't matter.	你钟唔钟意唔紧要。 
You have no right to interfere in other people's affairs.	你冇权利干涉人地的事。 
I'll alert Tom.	我会通知阿Tom。 
No problem.	无问题。 
You may take either the big box or the small one.	你可唔可以罗大盒，都可以罗细个盒。 
Do you know where Tom is waiting for us?	你知道汤姆系边度等我地呀？ 
I'm doing my homework.	我系度做工作。 
Nature is full of mysteries.	大自然充满左神秘。 
You're barking up the wrong tree.	你找错对象。 
I'm not letting Tom do this by himself.	我唔会比阿Tom一个人做尼件事的。 
She would often go to the theater when she was in London.	佢系伦敦果阵成日去剧院。 
We'll need a head hunting agency to find the right man for this executive position.	我地要一家猎人头公司黎为尼个行政职位揾到啱的人选。 
Can anyone believe you?	有人可以信你呀？ 
He is making great progress in English.	佢的英文进步好大。 
My father has been engaged in foreign trade for many years.	我阿爸从事外贸已经好多年啦。 
She has lost weight.	佢体重减轻啦。 
I'm tired of your complaints.	我厌倦左你怨。 
I don't want to have an operation.	我唔想做手术。 
I like this color as well.	我都钟意尼个颜色。 
I need to try.	我需要试。 
He left his umbrella on the bus.	佢把遮落系巴士度。 
My aunt made me a new skirt.	我阿姨比我做左一条新裙。 
She used to go to the movies on Sundays.	佢以前成日星期日去体电影。 
Everyone knew Tom was the one who did it.	个个都知道阿Tom做的。 
You might not like this beer at first. It's an acquired taste.	一开始，你可能唔钟意的啤酒。 尼一种后日整成的习惯。 
I am interested in music.	我对音乐有兴趣。 
I don't get what you mean.	我唔明你的意思。 
Where in Turkey do you live?	你系土耳其咩地方？ 
She showed us a beautiful hat.	佢比我地体左顶好靓的帽。 
He didn't come to the last meeting.	上次会议佢冇黎。 
It can be dangerous.	尼可能好危险。 
I have no intention of asking him.	我无意问佢。 
I agreed to the proposal.	我同意左尼个好提议.. 
It is like looking for a needle in a haystack.	尼，就好似大海捞针。 
Summer has ended.	夏天已经结束嘞。 
It's a very sad story.	尼个系一个好悲伤的故事。 
We're out of stock now.	我地而家冇货。 
Turn off the television. I can't concentrate.	将电视关掉。 我唔集中注意力。 
We need some more coffee.	我地要多的的咖啡。 
Most boys like baseball.	大多数男仔钟意棒球。 
You should have told me a long time ago.	你早货抵话比我知啦。 
Swimming is good for your health.	游水对你的健康有着数。 
This is Uncle Tom's farm.	尼个系阿Tom阿叔的农场。 
Pass me the salt, please. "Here you are."	唔该将盐比我。 “比你。” 
You are a student.	你系个学生。 
May I ask how old you are?	请问你几大啊？ 
I've finished watering the flowers.	我已经淋完花左。 
Tom wanted Mary to say that she loved him.	阿Tom想比阿Mary话佢爱佢。 
Please answer this question for me.	唔该帮我答尼个问题。 
Does she know your telephone number?	佢知道你个电话号码啊？ 
The picture looks better at a distance.	尼幅画远体更加好体。 
I invited them to the party.	我请佢地参加聚会。 
He returned from China.	佢系中国返黎嘞。 
The accident seemed to have something to do with the heavy snow.	今次事故似乎与大雪有关。 
Do we have anything I can snack on?	我地有咩，我可以食口立湿吗？ 
I think his opinion is very important.	我认为佢意见好重要。 
I am looking forward to Christmas.	我等左好耐住圣诞节。 
Do you like to cook Japanese foods?	你钟意做日本打理吗？ 
Why should it be different?	点解唔系一样？ 
Computers are certainly playing an important role in our life, whether we like it or not.	唔理我地中唔中意，电脑系我地的生活中演住重要的角色。 
Tom was all worn out.	阿Tom筋疲力尽啦。 
All the boys in class worked hard.	班上所有的男生都好努力。 
Studying abroad is very common now.	而家系外国读书好遍。 
Tom burst into tears.	阿Tom突然间大哭起身。 
Why do I have to do that?	我点解要甘做呀？ 
That bicycle is too small for you.	果架单车对你黎讲细得济啦。 
Do you know how to recover a deleted file?	你知点恢复比删除的文件吗？ 
Keep the dog out.	只狗遮系出便。 
I don't like novels without heroes.	我唔中意有冇英雄的小说。 
Is there a zoo in the park?	公园有动物园吗？ 
Tom suggested that I change the lock on my door.	阿Tom建议我换下门锁。 
I am very, very sorry.	我好好对唔住。 
The best hairdressers are gay.	最好的发型师都系基佬。 
I love elderberry juice.	我钟意接骨木果汁。 
She studied English in the morning.	佢朝头早学英文。 
The death penalty had been done away with in many states in the USA.	美国好多非洲已经废除左死刑。 
I understand perfectly.	我完全理解。 
What do you think of him?	你觉得佢点啊？ 
Tom is an extraordinary man.	阿Tom系一个非凡的人。 
The phone is ringing.	电话响左。 
Could you check the tire pressure?	你可唔可以检查一下车軚气压吗？ 
The charge for a front row seats is 5 dollars.	前排座位的费用系5美元。 
Obey your teachers.	敢唔听你个老师。 
No words can express her deep sorrow.	冇语言可以表达佢深深的悲痛。 
His house was small and old.	佢间屋又小又旧。 
You must get up a little earlier.	你一定要早的起身。 
Please show your ticket.	请出示你的飞。 
He took a week off.	佢请左一周假。 
Could you please not smoke in this room?	请你唔好系尼个房食烟好吗？ 
I'm sorry for the late response.	对唔住，甘迟先回复。 
My brother and I are in the same class.	我阿哥同我系同一个班。 
There are about forty students in her class.	佢班上约莫有四十个学生。 
I really want to know what's going on.	我真系好想知道尼系乜事。 
The shell of an egg is easily broken.	鸡蛋的壳好易烂。 
You've got a lot of guts.	你好够胆。 
It's said that she loves him.	听讲佢爱佢。 
I didn't like it.	我唔中意佢。 
What do you have the first period?	你有咩第一次月经？ 
He is now either in Rome or in Paris.	佢而家唔系罗马就系系巴黎。 
He is a doctor by profession.	佢的职业系医生。 
I'd like to be a guitarist.	我想成为一个结他手。 
Starting tomorrow, it's going to snow for a week.	系听日开始，将会下个礼拜的雪。 
My bicycle has a flat tire.	我架单车爆胎啦。 
Of course she can speak English.	佢当然会讲英文。 
Take things a little more seriously.	将野体得更重一D。 
Could I have a pillow and blanket?	可唔可以比我个枕头同氊吗？ 
Get out of here.	离开尼度。 
Stir the soup.	搅拌汤。 
We're almost broke.	我地几乎执笠啦。 
How many apples do you want?	你要几多苹果？ 
There's a telephone in my room.	我间房里面有一部电话。 
What prevented you from coming earlier?	系咩阻止都左你早的黎？ 
I don't need your help.	我唔需要你的帮助。 
I'm at the airport now.	我而家系机场。 
Haven't we met before?	我地以前未见过面吗？ 
That's my final answer.	尼个系我最后的答。 
I'm tired of her complaints.	我厌倦左佢怨。 
You must keep quiet for a few days.	你一定要安静几日。 
He asked her where her mother was.	佢问佢阿妈系边。 
This law is applicable to all cases.	尼项法律适用于所有情况。 
I want to go with you.	我想同你一齐去。 
It's healthy to breathe deeply.	透大气系有益健康的。 
When she saw that they had no schools, she started one.	当佢见到佢地冇学校的时候，佢开办左一间。 
I'm sure you'll love what we have on the menu tonight.	我相信你会钟意我地今晚菜牌上面的菜。 
Have you taken your medicine yet?	你食药呀？ 
The couple is walking hand in hand.	尼对夫妇手牵着手走住。 
There was a car accident yesterday.	寻日发生左撞车。 
Life is like a box of chocolates.	生活好似一盒朱古力。 
If she was displeased, she never showed it.	如果佢唔开心，佢从不表现出黎。 
I saw him running.	我见到佢系走。 
Stick a stamp on the envelope.	系信封度贴一张邮票。 
Do you want to know why I quit?	你想知我点解辞左职啊？ 
Who was in charge of today's party?	今日的晚会系边个主持的？ 
Is there an app for that?	有尼方面的应用吗？ 
If a sick person folds one thousand paper cranes, her wish will come true.	如果个病人折一千只纸鹤，佢愿望就会实现。 
Never forget to put out the fire.	千祈唔好唔记得灭火。 
Do you plan to stay long?	你打算屈好耐呀？ 
I haven't seen Tom since 1988.	自从一九八八年以黎，我就冇见过阿Tom。 
We made it out of there.	我地几难逃出去啦。 
My father works at the factory.	我阿爸打工厂工。 
I usually go to bed before ten.	我通常系十点前训教。 
What is my room number?	我间房号系几多啊？ 
The man got away from the city.	果个人逃离左城市。 
I don't blame you for doing that.	我唔怪你甘做。 
I missed you.	我想你啦。 
I'll give you anything that you want.	你想要咩，我就比你呀。 
I know the girl playing tennis.	我识果个打网球的女仔。 
Thank you for inviting me to dinner.	多谢你请我食饭。 
She greeted us with a smile.	佢笑笑口甘同我地打招呼。 
Entering the house, I tripped over the mat.	一进屋，我就比荐纩亲啦。 
If we knew what we were doing, it wouldn't be called research, would it?	如果我地知道自己系度做紧咩，就唔会叫研究左呀？ 
The bookcase is level with the table.	书柜与枱平齐。 
There's too much salt in this soup.	尼个汤里盐太多啦。 
You're an optimist.	你系一个乐观主义者。 
The box is too heavy to carry.	尼个箱太重，搬唔郁。 
Tom was there this morning.	阿Tom今朝系果度。 
I don't understand what he said.	我听唔明佢讲的说话。 
I treated her as my own daughter.	我将佢是自己的女。 
We haven't finished eating the watermelon yet.	我地都未食完西瓜尼。 
He did not know what to say.	佢唔知讲乜。 
Have you heard from him?	你有佢的消息啊？ 
I'll give you a little tip.	我比一的小贴士。 
The oranges in this bag are rotten.	尼个袋入面的橘子烂晒。 
There is no point in pretending to be sick.	诈病系冇意义架.. 
He wrote a book about a jungle adventure.	佢写左一本关于丛林探险的书。 
Both you and I are men.	你同我都系男人。 
The boy made fun of the girl.	男仔笑女仔。 
Second semester has ended.	第二学期已经结束嘞。 
Maybe you could draw me a picture.	或者你可唔可以比我画一幅画。 
She cut the apple with a knife.	佢用刀切苹果。 
This house belongs to my uncle.	尼间屋系我阿叔的。 
That car belongs in a museum.	果架车系属于博物馆。 
You can borrow my car anytime.	你随时都可唔可以借我架车。 
He is one of my neighbors.	佢系我个隔离。 
I carried the box on my shoulder.	我将箱托系膊上。 
Is this snake safe to touch?	玷尼条蛇安全啊？ 
They told me it was your fault.	佢地话比我知你错。 
Everybody knows that he is honest.	个个都知佢系诚实的。 
I just don't want to lose you.	我只系唔想失去你。 
I told them to send me another ticket.	我话佢地再比我寄一张票。 
I saw it in the newspaper.	我系报纸上体到的。 
Tom finally understood it.	阿Tom终于明白啦。 
The teacher pointed her finger at me and asked me to come with her.	老师用手指住我，等我同佢一齐去。 
Have you ever broken your glasses?	你曾经打碎吖过你副眼镜吗？ 
Don't shout at me.	唔好对我大喊大叫。 
News of the recent blast is all over the radio.	收音机度周围都系最近爆炸的消息。 
Don't you miss anything?	你冇错过咩呀？ 
They were not listening to music.	佢地冇系听音乐。 
I do not drink coffee.	我唔饮咖啡。 
Everybody wants to sit beside her.	个个都想坐系佢隔离。 
You may think those shoes are in fashion, but they aren't.	你可能认为的鞋好兴，但事实并非甘。 
He picked flowers for her.	佢同佢摘花。 
I can do it in a week.	我可唔可以系一个星期内完成。 
You're not satisfied, are you?	你唔满意，系未啊？ 
She weeded the garden.	佢系个花园度除草。 
Afraid of hurting his feelings, I didn't tell him the truth.	我惊伤害滴感情，所以冇话比佢个真相。 
Tom is a hick.	阿Tom系个乡下佬。 
I don't want to miss my train.	我唔想嘥我的。 
I want to go to Seattle.	我想去西雅图。 
Tom has forgotten how to do that.	阿Tom唔记得左点做果件事。 
The army forced him to resign.	军队迫使佢辞职。 
How about going to see a movie tonight?	今晚去体电影点啊？ 
I need it ASAP.	我要佢尽快。 
I'm in a bad mood today.	我今日心情唔好。 
In the winter, many older people slip on ice and fall down.	冬天，好多老人家系雪上跣亲。 
Something might have happened to her.	佢可能出左乜野事。 
Can I see that one?	我可唔可以体下果个呀？ 
There's enough time for a quick snack.	有紧要的时间吃快餐。 
I stayed at home last night.	我寻晚留系屋企。 
I don't have the address now.	我而家冇地址。 
Do you know me?	你识我呀？ 
I remember the first time.	我记得第一次。 
I don't think he'll say yes.	我想佢唔会答应。 
Tom doesn't really love Mary.	阿Tom唔系真系爱阿Mary。 
Money talks.	金钱大晒。 
He hid himself behind the door.	佢匿系门后。 
We imported meat from Argentina.	我地系亚根廷进口肉。 
Christmas is soon.	圣诞节就到了。 
I'm in love with her.	我钟意佢。 
I ran away in a hurry.	我急急脚甘走左。 
With the weather getting worse, the departure was put off.	由于天气变坏，启程比延后啦。 
Tom's house has a nice garden.	阿Tom的屋有一个好靓的花园。 
I was invited to their wedding.	我比邀请参加佢地的婚礼。 
I lost.	我输左。 
I quit smoking two years ago.	我两年前戒左。 
Apart from some fruit, he hasn't eaten anything.	除左一的生果，佢咩都冇食。 
Why do you need this money?	你点解要尼笔数？ 
These fireworks are spectacular!	尼的烟花太壮观啦！ 
He wants more.	佢想要多的。 
Passengers should board the train now.	乘客而家应该上车啊。 
When was this university founded?	尼间大学系几时建立的？ 
She dived into the swimming pool.	佢跳入游水池。 
You should bring your passport to the bank.	你应该带住护照去银行。 
I like oranges better than apples.	比起苹果，我钟意橘子。 
I got a farewell present from everyone.	个个都比我一份告别礼物。 
Which tooth hurts?	边粒牙疼？ 
Tom didn't have enough money to pay the rent.	阿Tom冇紧要的钱比屋租。 
I'm thirsty.	我口渴到嘞。 
I don't have a prejudice against foreign workers.	我对外国工人冇偏见。 
I see her sweeping the room.	我见到佢系打扫房间。 
Are you angry?	你嬲左呀？ 
Please pass me the butter.	唔该将牛油比我。 
I can't do any more than this.	我唔再做尼个啦。 
Let's take the children to the zoo.	我地带仔们去动物园啦。 
I majored in chemistry at the university.	我系大学主修化学。 
He broke the window on purpose.	佢特登打烂窗。 
I always study hard.	我成日努力学习。 
