content,creationTime,nickname,referenceName,content_type
*下的单。十四号送到的，打了400电话，今天师傅就来安装了。师傅态度不错，干活细致，拆了老热水器，连后面几年没擦的墙面都给擦干净了。赞一个。收费也比较合理，*块钱。热水器刚装上，还没用。之前海尔的用了四年多，漏水了。售后来看说是内胆漏了，修不如买新的。现在保修八年。总体不错，给好评。,2014-05-15 11:23:39,天边一朵云哈哈,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的热水器非常让人非常满意，售后非常认真负责，从货物到达目的地开始就咨询安装事宜！指导安装人员到场，一直都是大厂家的感觉！不愧销量那么高！安装人员讲解细致，从头到尾满分好评！,2017-10-10 18:45:10,f***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值， 发货速度 非常快，包装非常仔细、严实， 物流公司 服务态度很好，运送速度很快，很满意的 一次购物",2017-10-02 12:43:05,l***n,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东速度快，服务好。美的安装师傅也很好。悲催的是6号到的，10.8号就便宜了50多。安装材料费花了157元。,2017-10-10 13:22:47,只***黄,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器收到了，今天刚安装好，挺好用的，质量不错，安装工人服务态度很好，教给我怎么使用，快递挺快的，非常满意。,2017-10-20 17:33:20,j***k,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用了一段时间了，总体感觉不错。保温性能也是挺好的，主要遥控器的功能，小孩子用的很方便。值得推荐。,2017-10-07 15:03:53,j***u,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong cust",2017-10-17 16:09:03,二***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
国庆活动买的，京东就是好农村也送货上门，送到就装上了，试用了，很好用，烧水快水量足压力大，使用方便还带遥控器操作起来更方便,2017-10-23 20:48:58,D***强,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东速度就是快，第一次下订单出了点小事故，地址选错区域了，幸好京东客服帮忙处理了，活动价格比平时优惠了200，安装上去了，使用很方便，热水也很快，功耗也不大，美的牌子就是好，最后就是安装师傅没有那个安装材料的报表，可以有报表打勾就更完美了&hellip;,2017-05-17 13:51:24,F***裕,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
每次就喜欢在京东上面买东西，说几天到就几天到，特别放心。电热水器也很好，美的大品牌，简单漂亮，就喜欢侧面的pure water~安装之前主动打电话问啊，价格也明了。我家是把旧的拆下来换个新的，安装师傅很快就弄好了，态度好手脚麻利，花了*块钱，拆旧机是30，还有管子的钱啥的，我也没仔细算，反正最后效果好也无所谓啦。以前那个旧的电热水器用了17年了吧，也没坏，当然那个品牌现在也没了，希望这个美的电热水器也能经久耐用~~~,2017-07-22 10:16:33,P***-,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
非常满意，送货师傅非常好，给搬到14楼，安装师傅也不错。,2017-10-12 17:50:07,月***疯,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
昨天刚装好，第一次使用，烧水很快，性价比超高,2017-10-03 08:39:44,j***s,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
可以的  高端大气上档次 ！！！！！！！！！！！！！,2017-10-15 19:22:30,jd_156477ryl,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东下单400安装，是正品值得推荐,2017-10-09 11:49:03,张***荣,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
期盼之中，终于等到了心爱的东东，谢谢！,2017-09-26 18:41:25,s***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
产品很好，师傅安装也很负责任,2017-10-23 19:43:18,j***e,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器挺好的还防干烧,2017-10-03 16:29:18,王***霞,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
外观时尚简约，白色显大气。一键快速升温，省时。一键中温保温，省力。远红外遥控控制非常便捷。液晶大屏，一目了然。安装师傅细心周到的服务，让我倍感温暖。还送了一个小花洒，正好我家的坏了。简直就是无微不至。美的，大品牌，值得信赖。,2017-06-20 11:47:24,A***月,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
线上拍下产品后，发货速度很快。预约上门安装，安装人员业务熟练，素质很高。热水器很好，美的牌子值得信赖，加热快，60升水够完全后两个人用。很愉快的购物体验，性价比极高的一款热水器！,2017-10-17 22:53:37,3***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
产品没得说，一直用的是美的，包括洗衣机！就安装的师傅真是会装逼，说免费安装，然后我自己买了材料，最后装完用了他自带的几个接头，又收了我85块的材料费！变着法的收费！,2017-04-30 08:26:25,影***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
之前购物挺快递挺给力的这次购物快递不怎么给力但是也能理解毕竟一天送货量大师傅们忙不过来&hellip;说说宝贝吧自己没留心买了个1500W之前以为是2100W客服人员也没告知算自己倒霉吧&hellip;再说说安装 怎么说呢总之安装师傅很好很会对顾客考虑怎么安装好看什么的都考虑的很周到下来就是大家关心的收费问题两个脚法和管子收费合理满意的一次购物 下次再来用后感&hellip;?,2017-06-12 20:30:32,学***森,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的是大品牌，值得信赖，我们现在就用的美的的，新房子装修还用美的，售后也特别正规，安装人员进门穿鞋套，还耐心谅解，很贴心，很满意的一次购物,2017-10-19 16:05:51,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
多次购买京东自营商品，拥有七天无理由退换货，消费者可无忧购买，京东非常好，送货快。京东的各种，电电子，百货厂品多次购买。信赖京东自营。,2017-10-16 11:41:56,莫***志,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
家里之前也是用美的的，用了好多年现在换了这个还不错,2017-10-10 22:41:18,l***毅,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"??美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y) 还不错 送货快 安装好 很不错 家里人满意的
??美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)很不错 还行 就是价格总波动",2017-10-16 14:17:29,沙***鱼,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还是很好的，包装完整，外形大气简洁，和卫生间的颜色搭配很好，热水速度快，大容量足够一家三口使用了，真的是太号太好了啊，欧，天哪，简直不敢相信有了热水器的日子，像坐上了幸福的列车，奔向幸福的海洋～哈哈哈哈哈哈哈哈哈哈,2017-10-06 08:00:53,萌***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好！师傅安装的时候服务态度也很不错！美的大品牌果然不一样！京东送货上门速度很快！,2017-10-09 17:27:11,j***p,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的大品牌值得信赖，已经是第二回购买了！加热速度非常快，洗澡不用等！送货及时，安装及时，，安装师傅很和气，讲解非常到位，最后师傅还给收拾卫生了！！真的是满意的不的了，，满分！！,2017-10-16 16:32:15,j***e,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"多次购买京东自营商品，拥有7天无理由退换货，消费者可无忧购买，关键还是京东的入门门槛质量要求很高！京东的各种，电子，百货产品，多次购买了，京东自营的产品。
信赖京东自营",2017-09-19 07:40:57,闯***泽,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
确实不错，收到马上安装，接着用了水温都不错哦冬天洗澡不用愁了哈哈,2017-10-12 15:43:01,j***z,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
不错太棒了，一级变频出热水量大价格合适好,2017-10-23 09:14:15,3***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的的牌子就是好，买回来就觉得值得，撇开价格不管，牌子摆在这就让人放心。刚收到的第一感觉就是好大，60升的容积足够三个人洗，试了一下还是很不错的，很满意的一次购物，五星好评,2017-10-19 21:33:49,j***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器收到了，外观颜值很高，简洁大方。预约安装也很快，到货后第二天师傅一大早就来了。免费安装，只收了一些材料费。美的大品牌，值得信赖！,2017-10-12 16:06:16,j***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西不错，质量可以，用起来很实用。买了不后悔，外观大气，颜色漂亮。很喜欢。对比了好多款，这款性价比是最高的。物流非常快，师傅很热情。,2017-09-24 16:15:58,4***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
大品牌可以信赖，不管从物流还是安装都很完美，隔天就到，预约安装方便不少，安装服务不错，只花了材料费130，材料包三年，可以的。,2017-10-21 16:28:36,w***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
非常好，给家里面买的，储水量大，好几个人都可以用，下次还会再来买的，会把这个品牌的热水器介绍给朋友，希望越做越好！,2017-10-14 17:26:53,小***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺颂商祺！ Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong",2017-10-03 20:35:10,j***d,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong cust",2017-10-17 16:09:05,二***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西不错，质量可以，用起来很实用。买了不后悔，外观大气，颜色漂亮。很喜欢。对比了好多款，这款性价比是最高的。物流非常快，师傅很热情。,2017-09-24 16:18:13,4***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
尺寸大小正好~质量不错~老品牌值得信赖~安装师傅专业~按的美观实用~~~,2017-10-01 07:44:04,1***p,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
正品无疑！信奈京东。第一次网购大家电。售后服务也好，很快就上门安装了，就是安装费用太贵了，热水接到洗脸盆，用的还是太阳能的管道，改造了一下。总共花了438，没有安装材料的详细单子给我，觉得还是很坑。我说京东商城说200封顶，他说那你要求太高了。无语，感觉被宰了，安装材料不透明。自家换了一个混水阀110。除去这个还是很贵的。不如本地买划算，机器倒是便宜的，唉！有热水倒是很方便，从24度到70度用了一小时45分钟。但是对我这个洗澡费水的人来说50升还是太小了，洗了半小时只有三十度了，空间有限要不然一定要买大点的容量。,2017-09-30 10:56:45,陌***随,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还没看到电视没装修完呢，所有都是十月一囤货，很期待啊，满一万送空气净化器,2017-10-14 19:36:47,j***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
非常好&hellip;&hellip;非常喜欢，美的值得信任，美的的服务实在是一流谢谢了&hellip;&hellip;,2017-09-18 19:37:30,j***d,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的大品牌值得信赖，京东送货就是快，晚上12点下单，第二天下午就收到了，外箱和热水器外观完好，看外观还不错，很大，操作面板也不错。等装好使用了，再来追评。总体很满意。,2017-09-18 21:39:02,B***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
产品不错，外观漂亮，挺实惠的，10.6号拍的，因为留错电话，一直没收到货，和客服联系了，客服态度很好，效率快，给给联系后11号到货，12号就给安排安装上了。因为太阳能需要转换，材料费一共收了230元。感觉不贵，安装小哥态度也很好，安装的很仔细。小哥人也很实在。总之这款物美价廉感觉不错。用后再评论吧。,2017-10-12 21:20:15,J***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还不错，中午送来，下午师傅就来安装了，加热也很快！,2017-10-08 13:00:38,2***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"美的大品牌，热水器，选择大品牌，售后质量都有保障。
千元购买，经济实惠。电脑控温带遥控，比实体店便宜不少。
2级能耗，1500加热稍微有点慢了，推荐购买2100加热的。",2017-10-24 06:21:30,3***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"价格合理，就是我的卫生间小了点买60L
的有点大，建议大家买前先量好尺寸，安装师傅负责，安装材料价格透明，就是有点贵，一共安装材料费花了179，期待新房装修好，热水器是用",2017-10-06 07:22:33,乖***四,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器已安装，比较满意。送货快，安装免费，但材料是收费的，京东购买材料打九折哦！具体材料费用要看实际地方管件的使用情况，我这打折下来95元，安装师傅的态度也很好，点赞！,2017-10-15 09:52:49,5***辉,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
依然棒棒的，最信赖京东的家电！！售后师傅一级棒。,2017-09-17 22:33:33,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
这是第N次在京东买电器了，一如既往的好，物流快，安装好，服务更是好的无话可说，美的的热水器这是我买的第四个了，质量绝对信得过，支持京东支持美的电器，希望以后会更好！,2017-10-18 13:55:07,蔷***z,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
使用了一个月才来评价 安装师傅认真负责 质量不错 目前没有出现问题 后期使用方面的咨询 安装师傅又登门指导 售后不错 就是安装费有点小贵 给个五星好评吧,2017-09-28 11:53:31,天狼之星123,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
售后不错，比海尔的好。之前买的海尔热水器到货不送货打电话一天推一天的，就给他退了买的美的热水器。要颜值有颜值，高大尚很漂亮。插座换了16A带开关的，热水器加热好要洗澡就关掉开关，省去了一直拔插头的安全隐患。比较安全。安装人员态度好，材料费只收了80块。,2017-10-12 19:49:30,黑***子,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
第一次在京东买大东西，感觉宝贝不错，挺实惠的，就是加热慢了一点，尤其是50度以上加热就更慢了，不过总体性价比还是很好高的。,2017-09-24 22:47:38,j***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
机子不错，自己装的，特通水通电试了下才来评价的。美观，大方，使用方便，冲牌子来的，赞(/≧▽≦/)！！！,2017-10-21 21:21:43,花开后的日子,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
首先快递很给力，收到宝贝打开一看质量不错，由于别的原因自己安装的，遇到问题给售后打电话，他们也是很积极的给解决了。。感觉很满意。下次还会光临京东。???,2017-10-06 17:19:53,a***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
买家电我一直都是在京东家电上选择，大品牌值得信赖！正品低价无假货，售后服务一体化，态度好！,2017-10-20 22:36:23,Z***I,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
特别搞，速度快，性价比也很高，物流和安装都很快，好的不要不要的，声音也小，热的速度也快。赞,2017-10-17 11:00:52,越***悉,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
发货及时，包装完整，价格实惠，客服态度好！已经收到货了，马上就迫不及待打开看看。看到时我就兴奋的不得了！包装也没有任何破损。超级棒的质量，物有所值。宝贝儿是真心不错的，说实话真的很喜欢，绝对是正品，性价比还是相当高。这么便宜真的是赚到了，真的很值得购买，这包装，简直无法形容。店家的售后也很给力，服务态度特别好，发货速度也好快，客服特别热情，物流也是超级快！。好评好评！！喜欢。真心谢谢店家哈。客服以及售后人员都很耐心的回复，并且回复很及时，态度也好。发货也很及时，快递送到也是很快！还有一点就是，实惠以及店家很细心，包裹很结实。 很赞！快递哥态度超级棒 超赞....,2017-10-06 08:48:51,4***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
昨天下单，今天就到了！?送货快！快递员非常厉害！帮我扛到了五楼！辛苦快递员了,2017-10-07 19:08:38,倩***悠,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
首先说下配送，京东物流还是辣么快！再说下热水器，款式好看，大方！安装很及时，装好一个多礼拜了才回来评论。加热还是很速度的，赞美?。美的8年质保，还是很放心的！售后服务好！,2017-10-16 20:37:47,董***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器安装上了 颜值满分 东西给力   这回洗菜 洗手都可以用到热水了 哈哈 满意 美的服务还是很不错的 安装师傅人很好 技术给100分 技术很娴熟  辅料一共花了108元  相信美的,2017-10-03 13:15:12,j***i,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物流速度快，京东值得信赖，安装也很迅速。,2017-10-16 09:26:14,潘***君,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
装修好几天了，没有用过，总体可以，美观大方，实用，价格便宜,2017-10-20 22:53:06,阿***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装师傅很不错，还帮我扫地，各种解决问题！真心谢谢！大赞！,2017-10-18 22:13:05,j***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
昨天下的单今天就收到了！！！还没来得及拆开，我相信应该错不了，因为我家电器都是美的的，老家修路，特不好走，而且京东快递员还帮忙搬到家里，太感谢你了！相信美的更相信京东！！！,2017-10-08 15:43:46,F***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"今天安装师傅上门安装了，移花洒，墙开洞问了好几个人都不知道水管走向，只有一试，还好，没爆管，然后就是各种切割管子，安装，最后试水，上水，洗手台出水了之后就说明上满了，之后就不用了！温度设在60度，一个多小时到56度，线的长度将将好，还带了一个表，明码标价，不收安装费，最后166，师傅还打扫了一下工作现场才走！
待晚上看看再断电",2017-10-08 15:24:10,x***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西很好，很实用，家里人都很满意。喜欢的朋友们不要在犹豫了，尽管买吧。用起来也很方便，相信这个品牌，一直都在金公公买东西，相信京东，非常不错的选择,2017-10-21 08:39:35,曲***a,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的跟得上步伐，这样温度显示比较明显，清晰可见，人性化，还有个遥控器，这也是个好东西，很方便，不用再站高用手按了，美的安排的安装师傅也很热情，安装很仔细考虑的周全。赞。,2017-09-26 16:22:02,我***n,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的热水器挺好的，价格实惠，师傅安装也挺好的,2017-10-24 11:04:25,舒***风,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器已安装，比较满意。安装免费，但材料是收费的，京东购买材料打九折哦！具体材料费用要看实际地方管件的使用情况，我这打折下来121元，安装师傅的态度也很好，点赞！,2017-10-12 20:22:07,j***q,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很满意,2017-10-13 21:33:10,qxozFNTdGPry,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物流挺快的，昨天下午刚刚买下单，今天就收到货了。&hellip;&hellip;包装挺完整没有破损，师傅已经安装好啦，还不错&hellip;&hellip;,2017-09-24 16:38:27,j***x,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
收到有几天，今天给安装好了，挺好的,2017-10-14 21:38:04,子***丽,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
